,breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category,tokens
143,Japanese Spitz,"the japanese spitz, as a companion breed, enjoy the company of their families and truly are little comedians. they love to please their family and are thus eager to learn; they always have a smile on their face. distinctive features include their pure white coat that has a mane-like feature about their neck. also, like other spitz breeds, their tails curl over their back in a beautiful hair plume. a pointed muzzle likens them to a fox with a black nose, black eye rims, and ears of pointed triangles, which stand erect and move like radar towers, hearing everything going on around them and making this breed very alert. the japanese spitz are little comedians who want to make you happy and laugh. they are very loyal and smart and make wonderful companions. game for adventures, they will tag along on a hike, a car ride, or a trip to the beach or lake. they love their humans and just enjoy being with them.","Loyal, Playful, Smart",,30.48,38.1,4.535923700000001,11.33980925,12.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly,"['the', 'japanese', 'spitz', 'as', 'a', 'companion', 'breed', 'enjoy', 'the', 'company', 'of', 'their', 'families', 'and', 'truly', 'are', 'little', 'comedians', 'they', 'love', 'to', 'please', 'their', 'family', 'and', 'are', 'thus', 'eager', 'to', 'learn', 'they', 'always', 'have', 'a', 'smile', 'on', 'their', 'face', 'distinctive', 'features', 'include', 'their', 'pure', 'white', 'coat', 'that', 'has', 'a', 'mane', 'like', 'feature', 'about', 'their', 'neck', 'also', 'like', 'other', 'spitz', 'breeds', 'their', 'tails', 'curl', 'over', 'their', 'back', 'in', 'a', 'beautiful', 'hair', 'plume', 'a', 'pointed', 'muzzle', 'likens', 'them', 'to', 'a', 'fox', 'with', 'a', 'black', 'nose', 'black', 'eye', 'rims', 'and', 'ears', 'of', 'pointed', 'triangles', 'which', 'stand', 'erect', 'and', 'move', 'like', 'radar', 'towers', 'hearing', 'everything', 'going', 'on', 'around', 'them', 'and', 'making', 'this', 'breed', 'very', 'alert', 'the', 'japanese', 'spitz', 'are', 'little', 'comedians', 'who', 'want', 'to', 'make', 'you', 'happy', 'and', 'laugh', 'they', 'are', 'very', 'loyal', 'and', 'smart', 'and', 'make', 'wonderful', 'companions', 'game', 'for', 'adventures', 'they', 'will', 'tag', 'along', 'on', 'a', 'hike', 'a', 'car', 'ride', 'or', 'a', 'trip', 'to', 'the', 'beach', 'or', 'lake', 'they', 'love', 'their', 'humans', 'and', 'just', 'enjoy', 'being', 'with', 'them']"
144,Jindo,"the korea jindo dog is a well-proportioned, medium-sized dog used for hunting and guarding. with erect ears and a rolled or sickle-shaped tail, it should be a vivid expression of agility, strength, alertness and dignity.the jindo has a very strong instinct for hunting and is bold, brave, alert and careful, not tempted easily and impetuous. but most of all he is extremely faithful to his master. on the whole he is not fond of other animals, especially males. he also has a good sense of direction. a one-man dog, he readily accepts a new master, but never forgets his attachment towards the former master who raised him from puppyhood. he keeps himself clean and eats sparingly. club contact detailsclub: korean jindo association of americaname: ann kimemail: jindojunkie@yahoo.com loyal, watchful, and intelligent, the jindo developed as a breed on an island off the coast of south korea. medium-sized and natural in appearance, they are valued as independent hunters, discerning guardians, and loyal companions.","Alert, Intelligent, Bold",,45.72,55.88,13.6077711,22.6796185,14.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers,"['the', 'korea', 'jindo', 'dog', 'is', 'a', 'well', 'proportioned', 'medium', 'sized', 'dog', 'used', 'for', 'hunting', 'and', 'guarding', 'with', 'erect', 'ears', 'and', 'a', 'rolled', 'or', 'sickle', 'shaped', 'tail', 'it', 'should', 'be', 'a', 'vivid', 'expression', 'of', 'agility', 'strength', 'alertness', 'and', 'dignity', 'the', 'jindo', 'has', 'a', 'very', 'strong', 'instinct', 'for', 'hunting', 'and', 'is', 'bold', 'brave', 'alert', 'and', 'careful', 'not', 'tempted', 'easily', 'and', 'impetuous', 'but', 'most', 'of', 'all', 'he', 'is', 'extremely', 'faithful', 'to', 'his', 'master', 'on', 'the', 'whole', 'he', 'is', 'not', 'fond', 'of', 'other', 'animals', 'especially', 'males', 'he', 'also', 'has', 'a', 'good', 'sense', 'of', 'direction', 'a', 'one', 'man', 'dog', 'he', 'readily', 'accepts', 'a', 'new', 'master', 'but', 'never', 'forgets', 'his', 'attachment', 'towards', 'the', 'former', 'master', 'who', 'raised', 'him', 'from', 'puppyhood', 'he', 'keeps', 'himself', 'clean', 'and', 'eats', 'sparingly', 'club', 'contact', 'detailsclub', 'korean', 'jindo', 'association', 'of', 'americaname', 'ann', 'kimemail', 'jindojunkie', 'yahoo', 'com', 'loyal', 'watchful', 'and', 'intelligent', 'the', 'jindo', 'developed', 'as', 'a', 'breed', 'on', 'an', 'island', 'off', 'the', 'coast', 'of', 'south', 'korea', 'medium', 'sized', 'and', 'natural', 'in', 'appearance', 'they', 'are', 'valued', 'as', 'independent', 'hunters', 'discerning', 'guardians', 'and', 'loyal', 'companions']"
145,Kai Ken,"kai ken are athletic and intelligent with a strong desire to hunt. the kai is an independent thinker and can form a strong bond with their family. they are excellent swimmers and climbers and have been known to climb trees and swim rivers in pursuit of game. kai have a distinct brindle coat that comes in three colors: black brindle (kuro-tora), brindle (chu-tora), and red brindle (aka-tora). red brindle is the rarest of the coat colors. the distinct coloring and brindle pattern enabled the dog to blend in to the mountainous forests in which it hunted, camouflaging it against prey and predators in ancient times. the amount of brindle will vary from dog to dog as well as the brindle pattern. most puppies are born completely black and their brindle will emerge as they age and will continue to change for around the first five years of their life. in the home, the kai ken requires basic canine care. they can be kept in an apartment setting provided they receive regular exercise in the form of leashed walks. being a naturally clean breed, bathing should be limited to only when dirty. brushing is recommended, especially during twice-a-year coat blowing. club contact detailsclub:kai ken society of americaname: stacey pestel, communications officeraddress: 1808 penfield ct s, columbus, oh 43227email:club@kaisociety.orgphone: 614-313-8456 the kai ken is a medium-sized dog and is one of the six native japanese breeds or nihon ken. traditionally used to hunt a wide range of game in the mountains of japan, the kai ken is considered a rare breed even in japan. the kai is highly intelligent and learns quickly. they seem to learn as fast as the other japanese breeds if not faster. they are not as independent and are more willing to please their companions. the japanese describe the kai ken as a trustworthy guardian and extremely devoted to his master.","Loyal, Agile, Keen",,39.37,49.53,9.0718474,18.1436948,12.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers,"['kai', 'ken', 'are', 'athletic', 'and', 'intelligent', 'with', 'a', 'strong', 'desire', 'to', 'hunt', 'the', 'kai', 'is', 'an', 'independent', 'thinker', 'and', 'can', 'form', 'a', 'strong', 'bond', 'with', 'their', 'family', 'they', 'are', 'excellent', 'swimmers', 'and', 'climbers', 'and', 'have', 'been', 'known', 'to', 'climb', 'trees', 'and', 'swim', 'rivers', 'in', 'pursuit', 'of', 'game', 'kai', 'have', 'a', 'distinct', 'brindle', 'coat', 'that', 'comes', 'in', 'three', 'colors', 'black', 'brindle', 'kuro', 'tora', 'brindle', 'chu', 'tora', 'and', 'red', 'brindle', 'aka', 'tora', 'red', 'brindle', 'is', 'the', 'rarest', 'of', 'the', 'coat', 'colors', 'the', 'distinct', 'coloring', 'and', 'brindle', 'pattern', 'enabled', 'the', 'dog', 'to', 'blend', 'in', 'to', 'the', 'mountainous', 'forests', 'in', 'which', 'it', 'hunted', 'camouflaging', 'it', 'against', 'prey', 'and', 'predators', 'in', 'ancient', 'times', 'the', 'amount', 'of', 'brindle', 'will', 'vary', 'from', 'dog', 'to', 'dog', 'as', 'well', 'as', 'the', 'brindle', 'pattern', 'most', 'puppies', 'are', 'born', 'completely', 'black', 'and', 'their', 'brindle', 'will', 'emerge', 'as', 'they', 'age', 'and', 'will', 'continue', 'to', 'change', 'for', 'around', 'the', 'first', 'five', 'years', 'of', 'their', 'life', 'in', 'the', 'home', 'the', 'kai', 'ken', 'requires', 'basic', 'canine', 'care', 'they', 'can', 'be', 'kept', 'in', 'an', 'apartment', 'setting', 'provided', 'they', 'receive', 'regular', 'exercise', 'in', 'the', 'form', 'of', 'leashed', 'walks', 'being', 'a', 'naturally', 'clean', 'breed', 'bathing', 'should', 'be', 'limited', 'to', 'only', 'when', 'dirty', 'brushing', 'is', 'recommended', 'especially', 'during', 'twice', 'a', 'year', 'coat', 'blowing', 'club', 'contact', 'detailsclub', 'kai', 'ken', 'society', 'of', 'americaname', 'stacey', 'pestel', 'communications', 'officeraddress', '1808', 'penfield', 'ct', 's', 'columbus', 'oh', '43227email', 'club', 'kaisociety', 'orgphone', '614', '313', '8456', 'the', 'kai', 'ken', 'is', 'a', 'medium', 'sized', 'dog', 'and', 'is', 'one', 'of', 'the', 'six', 'native', 'japanese', 'breeds', 'or', 'nihon', 'ken', 'traditionally', 'used', 'to', 'hunt', 'a', 'wide', 'range', 'of', 'game', 'in', 'the', 'mountains', 'of', 'japan', 'the', 'kai', 'ken', 'is', 'considered', 'a', 'rare', 'breed', 'even', 'in', 'japan', 'the', 'kai', 'is', 'highly', 'intelligent', 'and', 'learns', 'quickly', 'they', 'seem', 'to', 'learn', 'as', 'fast', 'as', 'the', 'other', 'japanese', 'breeds', 'if', 'not', 'faster', 'they', 'are', 'not', 'as', 'independent', 'and', 'are', 'more', 'willing', 'to', 'please', 'their', 'companions', 'the', 'japanese', 'describe', 'the', 'kai', 'ken', 'as', 'a', 'trustworthy', 'guardian', 'and', 'extremely', 'devoted', 'to', 'his', 'master']"
146,Karelian Bear Dog,"the karelian bear dog is a medium-sized spitz with a dense coat. bred to hunt large, aggressive game by himself, his build reflects his duties. he is a silent hunter, and only barks once the game is stopped or treed. working with an experienced hunter, he communicates the type of animal he has located by the sound of his bark. though he can demonstrate self-control around people, his fighting spirit surfaces around other dogs and can be difficult to handle. his spirit easily turns into aggression, as karelian bear dogs love a challenge. club contact detailsclub: american karelian bear dog alliancename: maureen griffinemail: nytwind@comcast.netphone: 860-434-9198 the karelian bear dog is an eager hunter and very independent, yet works cooperatively to mark game by barking. their senses, especially smell, are sharp, thus the breed is suitable for big game hunting. they have a very good sense of direction, are balanced, courageous and persistent. this breed has a highly developed spirit for game and are very self-confident. they may be territorial towards other males, but are never aggressive towards people, though they may be slightly reserved.","Loyal, Independent, Courageous",,48.26,59.69,19.95806428,22.22602613,11.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.4,Calm,,,,,"['the', 'karelian', 'bear', 'dog', 'is', 'a', 'medium', 'sized', 'spitz', 'with', 'a', 'dense', 'coat', 'bred', 'to', 'hunt', 'large', 'aggressive', 'game', 'by', 'himself', 'his', 'build', 'reflects', 'his', 'duties', 'he', 'is', 'a', 'silent', 'hunter', 'and', 'only', 'barks', 'once', 'the', 'game', 'is', 'stopped', 'or', 'treed', 'working', 'with', 'an', 'experienced', 'hunter', 'he', 'communicates', 'the', 'type', 'of', 'animal', 'he', 'has', 'located', 'by', 'the', 'sound', 'of', 'his', 'bark', 'though', 'he', 'can', 'demonstrate', 'self', 'control', 'around', 'people', 'his', 'fighting', 'spirit', 'surfaces', 'around', 'other', 'dogs', 'and', 'can', 'be', 'difficult', 'to', 'handle', 'his', 'spirit', 'easily', 'turns', 'into', 'aggression', 'as', 'karelian', 'bear', 'dogs', 'love', 'a', 'challenge', 'club', 'contact', 'detailsclub', 'american', 'karelian', 'bear', 'dog', 'alliancename', 'maureen', 'griffinemail', 'nytwind', 'comcast', 'netphone', '860', '434', '9198', 'the', 'karelian', 'bear', 'dog', 'is', 'an', 'eager', 'hunter', 'and', 'very', 'independent', 'yet', 'works', 'cooperatively', 'to', 'mark', 'game', 'by', 'barking', 'their', 'senses', 'especially', 'smell', 'are', 'sharp', 'thus', 'the', 'breed', 'is', 'suitable', 'for', 'big', 'game', 'hunting', 'they', 'have', 'a', 'very', 'good', 'sense', 'of', 'direction', 'are', 'balanced', 'courageous', 'and', 'persistent', 'this', 'breed', 'has', 'a', 'highly', 'developed', 'spirit', 'for', 'game', 'and', 'are', 'very', 'self', 'confident', 'they', 'may', 'be', 'territorial', 'towards', 'other', 'males', 'but', 'are', 'never', 'aggressive', 'towards', 'people', 'though', 'they', 'may', 'be', 'slightly', 'reserved']"
147,Keeshond,"these square, sturdy companions descend from the same ancient stock as other spitz types, such as pomeranians and samoyeds. typically “spitzy,” keeshonden have a foxy face, pointed ears, an abundant coat, and a plumed tail carried high over the back. a unique breed characteristic—and one of the most charming hallmarks in all dogdom—is the “spectacles.” these shadings and markings around the eyes give the impression that a kees is wearing designer eyewear. the specs draw attention to an alert, intelligent expression. the amiable keeshond is a medium-sized spitz dog of ample coat, famous for the distinctive “spectacles” on his foxy face. once a fixture on the canal barges of his native holland, the kees was, and remains, a symbol of dutch patriotism.","Friendly, Lively, Outgoing",95,43.18,45.72,15.875732950000002,20.41165665,12.0,15.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly,"['these', 'square', 'sturdy', 'companions', 'descend', 'from', 'the', 'same', 'ancient', 'stock', 'as', 'other', 'spitz', 'types', 'such', 'as', 'pomeranians', 'and', 'samoyeds', 'typically', 'spitzy', 'keeshonden', 'have', 'a', 'foxy', 'face', 'pointed', 'ears', 'an', 'abundant', 'coat', 'and', 'a', 'plumed', 'tail', 'carried', 'high', 'over', 'the', 'back', 'a', 'unique', 'breed', 'characteristic', 'and', 'one', 'of', 'the', 'most', 'charming', 'hallmarks', 'in', 'all', 'dogdom', 'is', 'the', 'spectacles', 'these', 'shadings', 'and', 'markings', 'around', 'the', 'eyes', 'give', 'the', 'impression', 'that', 'a', 'kees', 'is', 'wearing', 'designer', 'eyewear', 'the', 'specs', 'draw', 'attention', 'to', 'an', 'alert', 'intelligent', 'expression', 'the', 'amiable', 'keeshond', 'is', 'a', 'medium', 'sized', 'spitz', 'dog', 'of', 'ample', 'coat', 'famous', 'for', 'the', 'distinctive', 'spectacles', 'on', 'his', 'foxy', 'face', 'once', 'a', 'fixture', 'on', 'the', 'canal', 'barges', 'of', 'his', 'native', 'holland', 'the', 'kees', 'was', 'and', 'remains', 'a', 'symbol', 'of', 'dutch', 'patriotism']"
148,Kerry Blue Terrier,"of course, we begin with the show-stopping coat that turns heads wherever kerries go. it comes in shades of blue—from a deep slate to a light blue-gray—and is so soft that it’s as pleasing to the touch as it is to the eye. the dense coat covers a muscular, well-developed body standing below 20 inches at the shoulder and weighing up to 40 pounds. a sporty beard and dark, keen eyes accentuate the nobility of the long terrier head. among the largest of akc terriers, the kerry blue terrier is famous for his show-stopping blue coat. named for the irish county of his birth, this onetime farm dog is today an alert, adaptable, and animated watchdog and family companion.","Smart, Alert, People-Oriented",129,44.45,49.53,14.968548210000002,18.1436948,12.0,15.0,Terrier Group,0.6,2-3 Times a Week Brushing,,,0.6,Regular Exercise,0.2,May be Stubborn,0.6,Alert/Responsive,"['of', 'course', 'we', 'begin', 'with', 'the', 'show', 'stopping', 'coat', 'that', 'turns', 'heads', 'wherever', 'kerries', 'go', 'it', 'comes', 'in', 'shades', 'of', 'blue', 'from', 'a', 'deep', 'slate', 'to', 'a', 'light', 'blue', 'gray', 'and', 'is', 'so', 'soft', 'that', 'it', 's', 'as', 'pleasing', 'to', 'the', 'touch', 'as', 'it', 'is', 'to', 'the', 'eye', 'the', 'dense', 'coat', 'covers', 'a', 'muscular', 'well', 'developed', 'body', 'standing', 'below', '20', 'inches', 'at', 'the', 'shoulder', 'and', 'weighing', 'up', 'to', '40', 'pounds', 'a', 'sporty', 'beard', 'and', 'dark', 'keen', 'eyes', 'accentuate', 'the', 'nobility', 'of', 'the', 'long', 'terrier', 'head', 'among', 'the', 'largest', 'of', 'akc', 'terriers', 'the', 'kerry', 'blue', 'terrier', 'is', 'famous', 'for', 'his', 'show', 'stopping', 'blue', 'coat', 'named', 'for', 'the', 'irish', 'county', 'of', 'his', 'birth', 'this', 'onetime', 'farm', 'dog', 'is', 'today', 'an', 'alert', 'adaptable', 'and', 'animated', 'watchdog', 'and', 'family', 'companion']"
149,Kishu Ken,"the kishu ken is a great dog for an active person and has the ability to be an easy-going house dog when they are not out and about. they are medium-sized, well balanced, and their muscles are well developed. they have pricked ears and a curled or sickle tail. kishus are very loving and affectionate with their families and need to be included in activities. they are great with kids if raised with them, but they are often aloof with strangers. kishu ken have high prey drives and might like to give chase to small animals. if he is raised with a small animal such as a cat, he could do well with them, but most kishus can’t help but give in to their instincts. club contact detailsclub: american kishu ken clubname: carleen newmanemail: kishuken1@gmail.com club: national kishu clubname: c.j. hammond – presidentemail: info@kishuclub.com the kishu ken is a dog of noteworthy endurance, showing nobility, dignity, and naive feeling. his temperament is faithful, docile, and very alert.","Faithful, Noble, Docile",,43.18,55.88,13.6077711,27.2155422,11.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers,"['the', 'kishu', 'ken', 'is', 'a', 'great', 'dog', 'for', 'an', 'active', 'person', 'and', 'has', 'the', 'ability', 'to', 'be', 'an', 'easy', 'going', 'house', 'dog', 'when', 'they', 'are', 'not', 'out', 'and', 'about', 'they', 'are', 'medium', 'sized', 'well', 'balanced', 'and', 'their', 'muscles', 'are', 'well', 'developed', 'they', 'have', 'pricked', 'ears', 'and', 'a', 'curled', 'or', 'sickle', 'tail', 'kishus', 'are', 'very', 'loving', 'and', 'affectionate', 'with', 'their', 'families', 'and', 'need', 'to', 'be', 'included', 'in', 'activities', 'they', 'are', 'great', 'with', 'kids', 'if', 'raised', 'with', 'them', 'but', 'they', 'are', 'often', 'aloof', 'with', 'strangers', 'kishu', 'ken', 'have', 'high', 'prey', 'drives', 'and', 'might', 'like', 'to', 'give', 'chase', 'to', 'small', 'animals', 'if', 'he', 'is', 'raised', 'with', 'a', 'small', 'animal', 'such', 'as', 'a', 'cat', 'he', 'could', 'do', 'well', 'with', 'them', 'but', 'most', 'kishus', 'can', 't', 'help', 'but', 'give', 'in', 'to', 'their', 'instincts', 'club', 'contact', 'detailsclub', 'american', 'kishu', 'ken', 'clubname', 'carleen', 'newmanemail', 'kishuken1', 'gmail', 'com', 'club', 'national', 'kishu', 'clubname', 'c', 'j', 'hammond', 'presidentemail', 'info', 'kishuclub', 'com', 'the', 'kishu', 'ken', 'is', 'a', 'dog', 'of', 'noteworthy', 'endurance', 'showing', 'nobility', 'dignity', 'and', 'naive', 'feeling', 'his', 'temperament', 'is', 'faithful', 'docile', 'and', 'very', 'alert']"
150,Komondor,"our hungarian-language tip of the day: the plural of komondor is komondorok. now, let’s take a look at the dog. what we see is a large and powerful guardian covered in profuse white cords. a big male can stand more than 27.5 inches and weigh over 100 pounds, with heavy bone, a deep chest, and lots of muscle. despite their brawn komondorok are agile and light-footed, and move with long strides. with their unique look, it’s impossible to mistake koms for anything else. a powerfully large hungarian flock guardian covered in profuse white cords from head to tail, the komondor is among the world’s most recognizable breeds. the independent and protective kom requires a firm, experienced hand at training.","Loyal, Dignified, Brave",173,64.77,69.85,36.2873896,45.359237,10.0,12.0,Working Group,1.0,Specialty/Professional,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,"['our', 'hungarian', 'language', 'tip', 'of', 'the', 'day', 'the', 'plural', 'of', 'komondor', 'is', 'komondorok', 'now', 'let', 's', 'take', 'a', 'look', 'at', 'the', 'dog', 'what', 'we', 'see', 'is', 'a', 'large', 'and', 'powerful', 'guardian', 'covered', 'in', 'profuse', 'white', 'cords', 'a', 'big', 'male', 'can', 'stand', 'more', 'than', '27', '5', 'inches', 'and', 'weigh', 'over', '100', 'pounds', 'with', 'heavy', 'bone', 'a', 'deep', 'chest', 'and', 'lots', 'of', 'muscle', 'despite', 'their', 'brawn', 'komondorok', 'are', 'agile', 'and', 'light', 'footed', 'and', 'move', 'with', 'long', 'strides', 'with', 'their', 'unique', 'look', 'it', 's', 'impossible', 'to', 'mistake', 'koms', 'for', 'anything', 'else', 'a', 'powerfully', 'large', 'hungarian', 'flock', 'guardian', 'covered', 'in', 'profuse', 'white', 'cords', 'from', 'head', 'to', 'tail', 'the', 'komondor', 'is', 'among', 'the', 'world', 's', 'most', 'recognizable', 'breeds', 'the', 'independent', 'and', 'protective', 'kom', 'requires', 'a', 'firm', 'experienced', 'hand', 'at', 'training']"
151,Kromfohrlander,"the kromfohrlander is a very intelligent, funny, agile dog which loves to climb and jump and easily excels at agility and dog-trick training but can be fussy with food. they come in two coat types: wirehaired (with beard) and smooth haired (smooth face with no beard and beautiful, long, soft hair). the breed’s nickname in north america is “kromi” (krome-ee). the kromfohrlander was bred to be a companion only, retains very little hunting instinct (despite its terrier heritage), and is often long-lived (17-18 years old). he is good with children and family and tends to be a one-person dog. he is very attached to his owner, will not run away, and is first to alert to strangers. club contact detailsclub: kromfohrlander club of americaname: mary dixonemail: kromiclub@gmail.comphone: 734-277-2270 the kromfohrlander is a medium-sized companion breed that is sensitive, loving and loyal to its owners. he has a distinctive 'smile' and will sneeze to greet you. pronunciation of the breed is ""krome-for-lahn-dair.""","Intelligent, Active, Sensitive",,38.1,45.72,9.0718474,15.875732950000002,13.0,15.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers,"['the', 'kromfohrlander', 'is', 'a', 'very', 'intelligent', 'funny', 'agile', 'dog', 'which', 'loves', 'to', 'climb', 'and', 'jump', 'and', 'easily', 'excels', 'at', 'agility', 'and', 'dog', 'trick', 'training', 'but', 'can', 'be', 'fussy', 'with', 'food', 'they', 'come', 'in', 'two', 'coat', 'types', 'wirehaired', 'with', 'beard', 'and', 'smooth', 'haired', 'smooth', 'face', 'with', 'no', 'beard', 'and', 'beautiful', 'long', 'soft', 'hair', 'the', 'breed', 's', 'nickname', 'in', 'north', 'america', 'is', 'kromi', 'krome', 'ee', 'the', 'kromfohrlander', 'was', 'bred', 'to', 'be', 'a', 'companion', 'only', 'retains', 'very', 'little', 'hunting', 'instinct', 'despite', 'its', 'terrier', 'heritage', 'and', 'is', 'often', 'long', 'lived', '17', '18', 'years', 'old', 'he', 'is', 'good', 'with', 'children', 'and', 'family', 'and', 'tends', 'to', 'be', 'a', 'one', 'person', 'dog', 'he', 'is', 'very', 'attached', 'to', 'his', 'owner', 'will', 'not', 'run', 'away', 'and', 'is', 'first', 'to', 'alert', 'to', 'strangers', 'club', 'contact', 'detailsclub', 'kromfohrlander', 'club', 'of', 'americaname', 'mary', 'dixonemail', 'kromiclub', 'gmail', 'comphone', '734', '277', '2270', 'the', 'kromfohrlander', 'is', 'a', 'medium', 'sized', 'companion', 'breed', 'that', 'is', 'sensitive', 'loving', 'and', 'loyal', 'to', 'its', 'owners', 'he', 'has', 'a', 'distinctive', 'smile', 'and', 'will', 'sneeze', 'to', 'greet', 'you', 'pronunciation', 'of', 'the', 'breed', 'is', 'krome', 'for', 'lahn', 'dair']"
152,Kuvasz,"imposing, impressive, majestic, massive, mighty—pick the adjective you like best, they all apply to the kuvasz (pronounced koo-vahz; the plural is kuvaszok, pronounced koo-vah-sock). this snow-white livestock guardian of luxuriant coat can stand as high as 30 inches at the shoulder, and weigh between 70 and 110 pounds. despite their size and strength, kuvs are quick-moving, nimble-footed protectors when meeting a threat. the breed’s fans say that the elegantly proportioned head “is considered to be the most beautiful part of the kuvasz.” the snow-white kuvasz is hungary's majestic guardian of flocks and companion of kings. a working dog of impressive size and strength, the imposing and thickly coated kuvasz is a beautiful, smart, profoundly loyal, but challenging breed.","Loyal, Fearless, Sweet",163,66.04,76.2,31.751465900000003,52.16312255,10.0,12.0,Working Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,"['imposing', 'impressive', 'majestic', 'massive', 'mighty', 'pick', 'the', 'adjective', 'you', 'like', 'best', 'they', 'all', 'apply', 'to', 'the', 'kuvasz', 'pronounced', 'koo', 'vahz', 'the', 'plural', 'is', 'kuvaszok', 'pronounced', 'koo', 'vah', 'sock', 'this', 'snow', 'white', 'livestock', 'guardian', 'of', 'luxuriant', 'coat', 'can', 'stand', 'as', 'high', 'as', '30', 'inches', 'at', 'the', 'shoulder', 'and', 'weigh', 'between', '70', 'and', '110', 'pounds', 'despite', 'their', 'size', 'and', 'strength', 'kuvs', 'are', 'quick', 'moving', 'nimble', 'footed', 'protectors', 'when', 'meeting', 'a', 'threat', 'the', 'breed', 's', 'fans', 'say', 'that', 'the', 'elegantly', 'proportioned', 'head', 'is', 'considered', 'to', 'be', 'the', 'most', 'beautiful', 'part', 'of', 'the', 'kuvasz', 'the', 'snow', 'white', 'kuvasz', 'is', 'hungary', 's', 'majestic', 'guardian', 'of', 'flocks', 'and', 'companion', 'of', 'kings', 'a', 'working', 'dog', 'of', 'impressive', 'size', 'and', 'strength', 'the', 'imposing', 'and', 'thickly', 'coated', 'kuvasz', 'is', 'a', 'beautiful', 'smart', 'profoundly', 'loyal', 'but', 'challenging', 'breed']"
153,Labrador Retriever,"the sturdy, well-balanced labrador retriever can, depending on the sex, stand from 21.5 to 24.5 inches at the shoulder and weigh between 55 to 80 pounds. the dense, hard coat comes in yellow, black, and a luscious chocolate. the head is wide, the eyes glimmer with kindliness, and the thick, tapering “otter tail” seems to be forever signaling the breed’s innate eagerness.labs are famously friendly. they are companionable housemates who bond with the whole family, and they socialize well with neighbor dogs and humans alike. but don’t mistake his easygoing personality for low energy: the lab is an enthusiastic athlete that requires lots of exercise, like swimming and marathon games of fetch, to keep physically and mentally fit. the sweet-faced, lovable labrador retriever is america’s most popular dog breed. labs are friendly, outgoing, and high-spirited companions who have more than enough affection to go around for a family looking for a medium-to-large dog.","Friendly, Active, Outgoing",1,54.61,62.23,24.947580350000003,36.2873896,10.0,12.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,1.0,Outgoing,"['the', 'sturdy', 'well', 'balanced', 'labrador', 'retriever', 'can', 'depending', 'on', 'the', 'sex', 'stand', 'from', '21', '5', 'to', '24', '5', 'inches', 'at', 'the', 'shoulder', 'and', 'weigh', 'between', '55', 'to', '80', 'pounds', 'the', 'dense', 'hard', 'coat', 'comes', 'in', 'yellow', 'black', 'and', 'a', 'luscious', 'chocolate', 'the', 'head', 'is', 'wide', 'the', 'eyes', 'glimmer', 'with', 'kindliness', 'and', 'the', 'thick', 'tapering', 'otter', 'tail', 'seems', 'to', 'be', 'forever', 'signaling', 'the', 'breed', 's', 'innate', 'eagerness', 'labs', 'are', 'famously', 'friendly', 'they', 'are', 'companionable', 'housemates', 'who', 'bond', 'with', 'the', 'whole', 'family', 'and', 'they', 'socialize', 'well', 'with', 'neighbor', 'dogs', 'and', 'humans', 'alike', 'but', 'don', 't', 'mistake', 'his', 'easygoing', 'personality', 'for', 'low', 'energy', 'the', 'lab', 'is', 'an', 'enthusiastic', 'athlete', 'that', 'requires', 'lots', 'of', 'exercise', 'like', 'swimming', 'and', 'marathon', 'games', 'of', 'fetch', 'to', 'keep', 'physically', 'and', 'mentally', 'fit', 'the', 'sweet', 'faced', 'lovable', 'labrador', 'retriever', 'is', 'america', 's', 'most', 'popular', 'dog', 'breed', 'labs', 'are', 'friendly', 'outgoing', 'and', 'high', 'spirited', 'companions', 'who', 'have', 'more', 'than', 'enough', 'affection', 'to', 'go', 'around', 'for', 'a', 'family', 'looking', 'for', 'a', 'medium', 'to', 'large', 'dog']"
