description, isdog, url
a man reaches into a hole where a nest of petrels is located,0,a man reaches into a hole where a nest of petrels is located
small brown woodhens roam around an enclosure,0,small brown woodhens roam around an enclosure
a misty rainforest landscape,0,a misty rainforest landscape
Family,1,Family
a woman holds a flashlight while laying in the leafy underbrush of the rainforest,0,a woman holds a flashlight while laying in the leafy underbrush of the rainforest
a small green stick bug like creature,0,a small green stick bug like creature
an adult phasmid with a hard black exoskeleton on a leaf,0,an adult phasmid with a hard black exoskeleton on a leaf
Weather 101,0,Weather 101
What Are Fossil Fuels?,0,What Are Fossil Fuels?
What Will Paris Climate Talks Mean for Africa?,0,What Will Paris Climate Talks Mean for Africa?
Scattered by climate change, a family stays close,0,Scattered by climate change, a family stays close
What mud from glacial lakes can tell us about our history and future,0,What mud from glacial lakes can tell us about our history and future
Health,0,Health
These peatlands could be critical to fighting climate change,0,These peatlands could be critical to fighting climate change
A painting of Cleopatra dressed in white with a heavy shadow on her face her gaze looks off into the distance.,0,A painting of Cleopatra dressed in white with a heavy shadow on her face her gaze looks off into the distance.
Decaying relieve image of cleopatra carved in a slab of stone.,0,Decaying relieve image of cleopatra carved in a slab of stone.
A coin looks gray and deteriorating.,0,A coin looks gray and deteriorating.
Cleopatra aboard ship off to war,0,Cleopatra aboard ship off to war
Cleopatra in blue lays deceased.,0,Cleopatra in blue lays deceased.
History,0,History
The back of one of Michael Jordan's sneakers is seen displayed in a glass case for auction.,0,The back of one of Michael Jordan's sneakers is seen displayed in a glass case for auction.
New York rappers Joe Simmons, Darryl "DMC" McDaniels and DJ "Jam Master Jay" Jason Mizell pose for a portrait on a rooftop in New York City.,0,New York rappers Joe Simmons, Darryl "DMC" McDaniels and DJ "Jam Master Jay" Jason Mizell pose for a portrait on a rooftop in New York City.
Michael Jorden defends the ball from a Washington Bullets player as he looks for a pass forward.,0,Michael Jorden defends the ball from a Washington Bullets player as he looks for a pass forward.
Skateboarders sit with their boards on a concrete sidewalk at Venice Beach.,0,Skateboarders sit with their boards on a concrete sidewalk at Venice Beach.
Two men in plain thobes are seen from the waist down as they show off their colorful sneakers.,0,Two men in plain thobes are seen from the waist down as they show off their colorful sneakers.
A line of monks dressed in simple red robes and sneakers stand waiting to fill containers with milk.,0,A line of monks dressed in simple red robes and sneakers stand waiting to fill containers with milk.
"12omo" sits in an ornamentally decorated room with several pairs of identical Nike Air Max 95s neatly arranged on the floor before him.,0,"12omo" sits in an ornamentally decorated room with several pairs of identical Nike Air Max 95s neatly arranged on the floor before him.
A hand reaches out to adjust a pair of white Adidas with green trim, one of several identical pairs displayed on a gold cart with trimmed with red velvet.,0,A hand reaches out to adjust a pair of white Adidas with green trim, one of several identical pairs displayed on a gold cart with trimmed with red velvet.
Photography,0,Photography
Picture of man and woman standing downstairs and looking up.,0,Picture of man and woman standing downstairs and looking up.
Picture of B&W photo of woman sitting with her arms crossed.,0,Picture of B&W photo of woman sitting with her arms crossed.
Picture of backyard of row house.,0,Picture of backyard of row house.
Picture of B&W photo of family posing on street.,0,Picture of B&W photo of family posing on street.
Science,0,Science
This view from Mount Athos overlooks the site of what was once the Xerxes Canal.,0,This view from Mount Athos overlooks the site of what was once the Xerxes Canal.
A silver siglos coin from the late sixth century B.C. depicts an armed Darius the Great.,0,A silver siglos coin from the late sixth century B.C. depicts an armed Darius the Great.
Darius's son Xerxes is represented on a Daric coin from the fifth century B.C.,0,Darius's son Xerxes is represented on a Daric coin from the fifth century B.C.
Persia’s King Xerxes, seated on the chair, stares over the Dardanelles Strait (then known as Hellespont) prior to launching his invasion in a 19th-century painting by Jean-Adrien Guignet.,0,Persia’s King Xerxes, seated on the chair, stares over the Dardanelles Strait (then known as Hellespont) prior to launching his invasion in a 19th-century painting by Jean-Adrien Guignet.
A drainage channel encircles the Gate of All Nations, built in the mid-fifth century B.C. by King Xerxes in Persepolis, the ceremonial capital of the Persian Empire. The site is near the modern city of Shiraz in southern Iran.,0,A drainage channel encircles the Gate of All Nations, built in the mid-fifth century B.C. by King Xerxes in Persepolis, the ceremonial capital of the Persian Empire. The site is near the modern city of Shiraz in southern Iran.
Herodotus, shown in a third-century A.D. Roman marble copy of an earlier Greek bust, kept the memory of Xerxes Canal alive in his "Histories.",0,Herodotus, shown in a third-century A.D. Roman marble copy of an earlier Greek bust, kept the memory of Xerxes Canal alive in his "Histories."
In 480 B.C., Persian sailors exiting the canal on the peninsula would have gazed upon Mount Athos from this perspective, before their boats resumed the westward journey.,0,In 480 B.C., Persian sailors exiting the canal on the peninsula would have gazed upon Mount Athos from this perspective, before their boats resumed the westward journey.
In a first century A.D. painting, Phrixus tries to save his twin sister, Helle, from drowning in the Dardanelles Strait, also known as the Hellespont in her honor.,0,In a first century A.D. painting, Phrixus tries to save his twin sister, Helle, from drowning in the Dardanelles Strait, also known as the Hellespont in her honor.
The Compass,0,The Compass
An illustration of French diplomat and traveler Count Choiseul-Gouffier,0,An illustration of French diplomat and traveler Count Choiseul-Gouffier
Phoenician sailors create the walkway for the Persian pontoon across the Hellespont in a 1915 illustration from the popular book Hutchinson’s "History of the Nations.",0,Phoenician sailors create the walkway for the Persian pontoon across the Hellespont in a 1915 illustration from the popular book Hutchinson’s "History of the Nations."
The Apadana (Audience Hall) at Persepolis was begun in the sixth century B.C. by Darius the Great and later completed by his son, Xerxes. Reliefs on the frieze covering the eastern stairs depict eight soldiers flanked by figures of a bull being mauled by a lion.,0,The Apadana (Audience Hall) at Persepolis was begun in the sixth century B.C. by Darius the Great and later completed by his son, Xerxes. Reliefs on the frieze covering the eastern stairs depict eight soldiers flanked by figures of a bull being mauled by a lion.
some of the most banned and challenged books in America in 2021 seen in a library,0,some of the most banned and challenged books in America in 2021 seen in a library
the inside page of Uncle Tom's Cabin,0,the inside page of Uncle Tom's Cabin
Margaret Atwood's "unburnable" copy of the Handmaid's Tale at a Sotheby's auction,0,Margaret Atwood's "unburnable" copy of the Handmaid's Tale at a Sotheby's auction
Travel,0,Travel
Photo of woman walking in forest with large stone slab path,0,Photo of woman walking in forest with large stone slab path
Photo of small structure surrounded by dramatic mountains,0,Photo of small structure surrounded by dramatic mountains
Photo of wooden plank pathway along mountainside and river,0,Photo of wooden plank pathway along mountainside and river
Illustration of man sitting on mountain reading book,0,Illustration of man sitting on mountain reading book
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
A yoga instructor helps a student to stretch in a yoga class.,0,A yoga instructor helps a student to stretch in a yoga class.
Cancer 101,0,Cancer 101
Black Holes 101,0,Black Holes 101
Flu Virus 101,0,Flu Virus 101
Genetics 101,0,Genetics 101
Origins of the Universe 101,0,Origins of the Universe 101
Lunar Eclipse 101,0,Lunar Eclipse 101
A stray dog in front of Chernobyl reactor containment structure.,1,A stray dog in front of Chernobyl reactor containment structure.
Gamma radiation camera shows plume over Chernobyl reactor.,0,Gamma radiation camera shows plume over Chernobyl reactor.
Stray dogs outside a building in Chernobyl.,1,Stray dogs outside a building in Chernobyl.
Woman feeds stray dogs at Chernobyl in 2017.,1,Woman feeds stray dogs at Chernobyl in 2017.
Blow guns were used to sedate the dogs for capture at Chernobyl.,1,Blow guns were used to sedate the dogs for capture at Chernobyl.
Dog catchers handle dog after darting.,1,Dog catchers handle dog after darting.
A rescue worker carries a sedated dog the van.,1,A rescue worker carries a sedated dog the van.
A Chernobyl dog is tested for radiation exposure.,1,A Chernobyl dog is tested for radiation exposure.
Chernobyl dogs wait for the sedation to wear off before being released.,1,Chernobyl dogs wait for the sedation to wear off before being released.
Aerial view of the structure placed over the damaged Chernobyl reactor.,0,Aerial view of the structure placed over the damaged Chernobyl reactor.
Cancer 101,0,Cancer 101
Black Holes 101,0,Black Holes 101
Flu Virus 101,0,Flu Virus 101
Genetics 101,0,Genetics 101
Origins of the Universe 101,0,Origins of the Universe 101
Lunar Eclipse 101,0,Lunar Eclipse 101
Neon lights from a diner reflect along a row of cars in the parking lot.,0,Neon lights from a diner reflect along a row of cars in the parking lot.
Cancer 101,0,Cancer 101
Black Holes 101,0,Black Holes 101
Flu Virus 101,0,Flu Virus 101
Genetics 101,0,Genetics 101
Origins of the Universe 101,0,Origins of the Universe 101
Lunar Eclipse 101,0,Lunar Eclipse 101
A magnified view of the human eye shows the pupil, the surrounding iris, and capillaries on the surface of the eyeball.,0,A magnified view of the human eye shows the pupil, the surrounding iris, and capillaries on the surface of the eyeball.
A close-up view of a mudskipper,0,A close-up view of a mudskipper
A mudskipper is seen jumping through the air.,0,A mudskipper is seen jumping through the air.
Cancer 101,0,Cancer 101
Black Holes 101,0,Black Holes 101
Flu Virus 101,0,Flu Virus 101
Genetics 101,0,Genetics 101
Origins of the Universe 101,0,Origins of the Universe 101
Lunar Eclipse 101,0,Lunar Eclipse 101
A transmission electron micrograph shows a single bacterium that causes the Syphilis infection. The bacteria is long and winding in shape, similar to a worm.,0,A transmission electron micrograph shows a single bacterium that causes the Syphilis infection. The bacteria is long and winding in shape, similar to a worm.
Colored scanning electron micrograph showing a cervix cell which appears ripped open. Inside, hundreds of round Chlamydia bacteria are visible.,0,Colored scanning electron micrograph showing a cervix cell which appears ripped open. Inside, hundreds of round Chlamydia bacteria are visible.
A colorized scanning electron micrograph showing a cluster of round gonorrhea bacteria clinging to the surface of another cell.,0,A colorized scanning electron micrograph showing a cluster of round gonorrhea bacteria clinging to the surface of another cell.
Cancer 101,0,Cancer 101
Black Holes 101,0,Black Holes 101
Flu Virus 101,0,Flu Virus 101
Genetics 101,0,Genetics 101
Origins of the Universe 101,0,Origins of the Universe 101
Lunar Eclipse 101,0,Lunar Eclipse 101
Shooting stars are visible amongst a clear view of the Milky Way over thee Baltic Sea.,0,Shooting stars are visible amongst a clear view of the Milky Way over thee Baltic Sea.
people lounging at night looking at the night sky,0,people lounging at night looking at the night sky
A lone member of the Phantom Springs wolf pack stands in Grand Teton National Park.,1,A lone member of the Phantom Springs wolf pack stands in Grand Teton National Park.
Cancer 101,0,Cancer 101
Black Holes 101,0,Black Holes 101
Flu Virus 101,0,Flu Virus 101
Genetics 101,0,Genetics 101
Origins of the Universe 101,0,Origins of the Universe 101
Lunar Eclipse 101,0,Lunar Eclipse 101
A woman sitting on the porch of a lodge at Oasyhotel.,0,A woman sitting on the porch of a lodge at Oasyhotel.
An outdoor dining experience on a balcony at The Hotel Hassler, where the landmarks of Rome can be seen.,0,An outdoor dining experience on a balcony at The Hotel Hassler, where the landmarks of Rome can be seen.
<p>Coastal rain wolves like these in British Columbia live along the coast and have a unique diet of fish, deer, and animals that live in the intertidal zone, such as mollusks.</p>
,1,<p>Coastal rain wolves like these in British Columbia live along the coast and have a unique diet of fish, deer, and animals that live in the intertidal zone, such as mollusks.</p>

Vineyard at sunset.,0,Vineyard at sunset.
12 croquetas in a box with eggs and garnish to the side.,0,12 croquetas in a box with eggs and garnish to the side.
One of the dishes on offer at Ikaro.,0,One of the dishes on offer at Ikaro.
The street outside La Taberna del Tio Blas bar, showing a painted wall advertising the bar.,0,The street outside La Taberna del Tio Blas bar, showing a painted wall advertising the bar.
A pedestrianised street in Logroño, where people are sitting outside restaurants and a busker is setting up to play.,0,A pedestrianised street in Logroño, where people are sitting outside restaurants and a busker is setting up to play.
Two bowls of red piquillo pepper sorbet.,0,Two bowls of red piquillo pepper sorbet.
This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.,1,This photo was submitted to Your Shot, our photo community on Instagram. Follow us on Instagram at @natgeoyourshot or visit us at natgeo.com/yourshot for the latest submissions and news about the community.
<p>This coyote was seen on several occasions hunting meadow voles in Yellowstone National Park—quite successfully.</p>
,1,<p>This coyote was seen on several occasions hunting meadow voles in Yellowstone National Park—quite successfully.</p>

A hiker looks across the mountainous landscape of High Scardus trail, where long strands of golden grass blanket the terrain.,0,A hiker looks across the mountainous landscape of High Scardus trail, where long strands of golden grass blanket the terrain.
The Church of St. John at Kaneo stands on the shore of Lake Ohrid in North Macedonia.,0,The Church of St. John at Kaneo stands on the shore of Lake Ohrid in North Macedonia.
A man leans over to place a log into the wood burning stove of a small mountain hut.,0,A man leans over to place a log into the wood burning stove of a small mountain hut.
A shepherd stands by the doorway of his home, dressed in yellow rain gear.,0,A shepherd stands by the doorway of his home, dressed in yellow rain gear.
A hiker is seen walking through a path of green and red foliage that's nearly as tall as the hiker.,0,A hiker is seen walking through a path of green and red foliage that's nearly as tall as the hiker.
<p>African wild dogs play.</p>
,1,<p>African wild dogs play.</p>

Ring-tailed lemur in a forest in Ifotaka.,1,Ring-tailed lemur in a forest in Ifotaka.
